ano,cod_ibge,nome_municipio,uf,pib
2015,1304203,Tefé - AM,AM,710973
2015,1304237,Tonantins - AM,AM,114685
2015,1304260,Uarini - AM,AM,130831
2015,1304302,Urucará - AM,AM,310200
2015,1304401,Urucurituba - AM,AM,113917
2015,1400027,Amajari - RR,RR,123154
2015,1400050,Alto Alegre - RR,RR,221320
2015,1400100,Boa Vista - RR,RR,7581092
2015,1400159,Bonfim - RR,RR,224232
2015,1400175,Cantá - RR,RR,209781
2015,1400209,Caracaraí - RR,RR,307049
2015,1400233,Caroebe - RR,RR,142421
2015,1400282,Iracema - RR,RR,126537
2015,1400308,Mucajaí - RR,RR,248327
2015,1400407,Normandia - RR,RR,123235
2015,1400456,Pacaraima - RR,RR,145930
2015,1400472,Rorainópolis - RR,RR,467660
2015,1400506,São João da Baliza - RR,RR,124280
2015,1400605,São Luiz - RR,RR,100434
2015,1400704,Uiramutã - RR,RR,97451
2015,1500107,Abaetetuba - PA,PA,1192555
2015,1500131,Abel Figueiredo - PA,PA,66599
2015,1500206,Acará - PA,PA,640890
2015,1500305,Afuá - PA,PA,324962
2015,1500347,Água Azul do Norte - PA,PA,379314
2015,1500404,Alenquer - PA,PA,518610
2015,1500503,Almeirim - PA,PA,475344
2015,1500602,Altamira - PA,PA,3201408
2015,1500701,Anajás - PA,PA,180985
2015,1500800,Ananindeua - PA,PA,6222672
2015,1500859,Anapu - PA,PA,302093
2015,1500909,Augusto Corrêa - PA,PA,287174
2015,1500958,Aurora do Pará - PA,PA,257268
2015,1501006,Aveiro - PA,PA,97996
2015,1501105,Bagre - PA,PA,147607
2015,1501204,Baião - PA,PA,307389
2015,1501253,Bannach - PA,PA,68221
2015,1501303,Barcarena - PA,PA,5513144
2015,1501402,Belém - PA,PA,29215036
2015,1501451,Belterra - PA,PA,140052
2015,1501501,Benevides - PA,PA,1202057
2015,1501576,Bom Jesus do Tocantins - PA,PA,134478
2015,1501600,Bonito - PA,PA,86352
2015,1501709,Bragança - PA,PA,976997
2015,1501725,Brasil Novo - PA,PA,208756
2015,1501758,Brejo Grande do Araguaia - PA,PA,64269
2015,1501782,Breu Branco - PA,PA,518458
2015,1501808,Breves - PA,PA,653059
2015,1501907,Bujaru - PA,PA,394742
2015,1501956,Cachoeira do Piriá - PA,PA,151957
2015,1502004,Cachoeira do Arari - PA,PA,159323
2015,1502103,Cametá - PA,PA,987906
2015,1502152,Canaã dos Carajás - PA,PA,3478390
2015,1502202,Capanema - PA,PA,958387
2015,1502301,Capitão Poço - PA,PA,438832
2015,1502400,Castanhal - PA,PA,3207269
2015,1502509,Chaves - PA,PA,167194
2015,1502608,Colares - PA,PA,65837
2015,1502707,Conceição do Araguaia - PA,PA,520879
2015,1502756,Concórdia do Pará - PA,PA,260414
2015,1502764,Cumaru do Norte - PA,PA,231360
2015,1502772,Curionópolis - PA,PA,344416
2015,1502806,Curralinho - PA,PA,477864
2015,1502855,Curuá - PA,PA,97742
2015,1502905,Curuçá - PA,PA,241752
2015,1502939,Dom Eliseu - PA,PA,567684
2015,1502954,Eldorado do Carajás - PA,PA,287743
2015,1503002,Faro - PA,PA,50485
2015,1503044,Floresta do Araguaia - PA,PA,331441
2015,1503077,Garrafão do Norte - PA,PA,192280
2015,1503093,Goianésia do Pará - PA,PA,324651
2015,1503101,Gurupá - PA,PA,197032
2015,1503200,Igarapé-Açu - PA,PA,298323
2015,1503309,Igarapé-Miri - PA,PA,374547
2015,1503408,Inhangapi - PA,PA,95257
2015,1503457,Ipixuna do Pará - PA,PA,436248
2015,1503507,Irituia - PA,PA,204242
2015,1503606,Itaituba - PA,PA,1601843
2015,1503705,Itupiranga - PA,PA,453461
2015,1503754,Jacareacanga - PA,PA,202240
2015,1503804,Jacundá - PA,PA,458521
2015,1503903,Juruti - PA,PA,768414
2015,1504000,Limoeiro do Ajuru - PA,PA,404797
2015,1504059,Mãe do Rio - PA,PA,276718
2015,1504109,Magalhães Barata - PA,PA,59783
2015,1504208,Marabá - PA,PA,7305741
2015,1504307,Maracanã - PA,PA,186807
2015,1504406,Marapanim - PA,PA,185508
2015,1504422,Marituba - PA,PA,1592877
2015,1504455,Medicilândia - PA,PA,624718
2015,1504505,Melgaço - PA,PA,140741
2015,1504604,Mocajuba - PA,PA,253839
2015,1504703,Moju - PA,PA,741243
2015,1504752,Mojuí dos Campos - PA,PA,125707
2015,1504802,Monte Alegre - PA,PA,612761
2015,1504901,Muaná - PA,PA,232487
2015,1504950,Nova Esperança do Piriá - PA,PA,179038
2015,1504976,Nova Ipixuna - PA,PA,133679
2015,1505007,Nova Timboteua - PA,PA,100631
2015,1505031,Novo Progresso - PA,PA,467114
2015,1505064,Novo Repartimento - PA,PA,736960
2015,1505106,Óbidos - PA,PA,533829
2015,1505205,Oeiras do Pará - PA,PA,359088
2015,1505304,Oriximiná - PA,PA,1722278
2015,1505403,Ourém - PA,PA,156196
2015,1505437,Ourilândia do Norte - PA,PA,504260
2015,1505486,Pacajá - PA,PA,433942
2015,1505494,Palestina do Pará - PA,PA,53301
2015,1505502,Paragominas - PA,PA,2394332
2015,1505536,Parauapebas - PA,PA,11184354
2015,1505551,Pau D'Arco - PA,PA,73398
2015,1505601,Peixe-Boi - PA,PA,48552
2015,1505635,Piçarra - PA,PA,180801
2015,1505650,Placas - PA,PA,235473
2015,1505700,Ponta de Pedras - PA,PA,187380
2015,1505809,Portel - PA,PA,446246
2015,1505908,Porto de Moz - PA,PA,218556
2015,1506005,Prainha - PA,PA,226131
2015,1506104,Primavera - PA,PA,81542
2015,1506112,Quatipuru - PA,PA,75765
2015,1506138,Redenção - PA,PA,1467916
2015,1506161,Rio Maria - PA,PA,360821
2015,1506187,Rondon do Pará - PA,PA,481472
2015,1506195,Rurópolis - PA,PA,287612
2015,1506203,Salinópolis - PA,PA,348010
2015,1506302,Salvaterra - PA,PA,143257
2015,1506351,Santa Bárbara do Pará - PA,PA,132624
2015,1506401,Santa Cruz do Arari - PA,PA,61148
2015,1506500,Santa Izabel do Pará - PA,PA,609611
2015,1506559,Santa Luzia do Pará - PA,PA,138283
2015,1506583,Santa Maria das Barreiras - PA,PA,250099
2015,1506609,Santa Maria do Pará - PA,PA,203834
2015,1506708,Santana do Araguaia - PA,PA,686482
2015,1506807,Santarém - PA,PA,3970093
2015,1506906,Santarém Novo - PA,PA,39878
2015,1507003,Santo Antônio do Tauá - PA,PA,297319
2015,1507102,São Caetano de Odivelas - PA,PA,114215
2015,1507151,São Domingos do Araguaia - PA,PA,220134
2015,1507201,São Domingos do Capim - PA,PA,247892
2015,1507300,São Félix do Xingu - PA,PA,1212882
2015,1507409,São Francisco do Pará - PA,PA,165795
2015,1507458,São Geraldo do Araguaia - PA,PA,312905
2015,1507466,São João da Ponta - PA,PA,37866
2015,1507474,São João de Pirabas - PA,PA,131343
2015,1507508,São João do Araguaia - PA,PA,104666
2015,1507607,São Miguel do Guamá - PA,PA,560272
2015,1507706,São Sebastião da Boa Vista - PA,PA,169416
2015,1507755,Sapucaia - PA,PA,89659
2015,1507805,Senador José Porfírio - PA,PA,113430
2015,1507904,Soure - PA,PA,165410
2015,1507953,Tailândia - PA,PA,789823
2015,1507961,Terra Alta - PA,PA,63158
2015,1507979,Terra Santa - PA,PA,484668
2015,1508001,Tomé-Açu - PA,PA,557048
2015,1508035,Tracuateua - PA,PA,187974
2015,1508050,Trairão - PA,PA,226746
2015,1508084,Tucumã - PA,PA,664104
2015,1508100,Tucuruí - PA,PA,4409818
2015,1508126,Ulianópolis - PA,PA,1336059
2015,1508159,Uruará - PA,PA,499254
2015,1508209,Vigia - PA,PA,352008
2015,1508308,Viseu - PA,PA,434230
2015,1508357,Vitória do Xingu - PA,PA,805867
2015,1508407,Xinguara - PA,PA,1075410
2015,1600055,Serra do Navio - AP,AP,60383
2015,1600105,Amapá - AP,AP,131867
2015,1600154,Pedra Branca do Amapari - AP,AP,288571
2015,1600204,Calçoene - AP,AP,136608
2015,1600212,Cutias - AP,AP,64196
2015,1600238,Ferreira Gomes - AP,AP,351803
2015,1600253,Itaubal - AP,AP,57149
2015,1600279,Laranjal do Jari - AP,AP,531997
2015,1600303,Macapá - AP,AP,9126377
2015,1600402,Mazagão - AP,AP,204408
2015,1600501,Oiapoque - AP,AP,305452
2015,1600535,Porto Grande - AP,AP,295789
2015,1600550,Pracuúba - AP,AP,56518
2015,1600600,Santana - AP,AP,1936602
2015,1600709,Tartarugalzinho - AP,AP,165606
2015,1600808,Vitória do Jari - AP,AP,147967
2015,1700251,Abreulândia - TO,TO,37328
2015,1700301,Aguiarnópolis - TO,TO,109236
2015,1700350,Aliança do Tocantins - TO,TO,73158
2015,1700400,Almas - TO,TO,119955
2015,1700707,Alvorada - TO,TO,231814
2015,1701002,Ananás - TO,TO,89900
2015,1701051,Angico - TO,TO,40468
2015,1701101,Aparecida do Rio Negro - TO,TO,71286
2015,1701309,Aragominas - TO,TO,58663
2015,1701903,Araguacema - TO,TO,74800
2015,1702000,Araguaçu - TO,TO,158036
2015,1702109,Araguaína - TO,TO,3442013
2015,1702158,Araguanã - TO,TO,58972
2015,1702208,Araguatins - TO,TO,329820
2015,1702307,Arapoema - TO,TO,96251
2015,1702406,Arraias - TO,TO,129116
2015,1702554,Augustinópolis - TO,TO,190943
2015,1702703,Aurora do Tocantins - TO,TO,37445
2015,1702901,Axixá do Tocantins - TO,TO,92032
2015,1703008,Babaçulândia - TO,TO,92000
2015,1703057,Bandeirantes do Tocantins - TO,TO,86779
2015,1703073,Barra do Ouro - TO,TO,48748
2015,1703107,Barrolândia - TO,TO,61091
2015,1703206,Bernardo Sayão - TO,TO,64822
2015,1703305,Bom Jesus do Tocantins - TO,TO,60935
2015,1703602,Brasilândia do Tocantins - TO,TO,39755
2015,1703701,Brejinho de Nazaré - TO,TO,95909
2015,1703800,Buriti do Tocantins - TO,TO,76159
2015,1703826,Cachoeirinha - TO,TO,22182
2015,1703842,Campos Lindos - TO,TO,314383
2015,1703867,Cariri do Tocantins - TO,TO,286391
2015,1703883,Carmolândia - TO,TO,32234
2015,1703891,Carrasco Bonito - TO,TO,30620
2015,1703909,Caseara - TO,TO,64811
2015,1704105,Centenário - TO,TO,28078
