INSTITUICAO,COD_IBGE,UF,POPULACAO,INDICADOR_1,NOTA_1,INDICADOR_2,NOTA_2,INDICADOR_3,NOTA_3,CLASSIFICACAO_CAPAG,ANO_BASE
Prefeitura Municipal de Pelotas - RS,4314407,RS,341648,"0,520483983",A,"0,957827898",C,"3,642039681",C,C,2019
Prefeitura Municipal de Penaforte - CE,2310605,CE,9010,"0,008011836",A,"1,058996047",C,"1,319588244",C,C,2019
Prefeitura Municipal de Penalva - MA,2108306,MA,38203,,n.d.,"1,502871676",C,,n.d.,n.d.,2019
Prefeitura Municipal de Penápolis - SP,3537305,SP,63047,"0,324156932",A,"1,088370965",C,,n.d.,n.d.,2019
Prefeitura Municipal de Pendências - RN,2409902,RN,14984,"0,29812236",A,"0,985875349",C,,n.d.,n.d.,2019
Prefeitura Municipal de Penedo - AL,2706703,AL,63516,"0,012292032",A,,n.d.,"0,705871658",A,n.d.,2019
Prefeitura Municipal de Penha - SC,4212502,SC,31764,"0,070442341",A,"0,949392763",B,"-0,109374069",C,C,2019
Prefeitura Municipal de Pentecoste - CE,2310704,CE,37326,"0,318745675",A,"0,918771243",B,,n.d.,n.d.,2019
Prefeitura Municipal de Pequeri - MG,3149507,MG,3310,"0,033189907",A,"0,983645871",C,"0,168196029",A,C,2019
Prefeitura Municipal de Pequi - MG,3149606,MG,4379,"0,042395051",A,"0,93166891",B,"0,962654135",A,B,2019
Prefeitura Municipal de Pequizeiro - TO,1716653,TO,5443,"0,153703539",A,"0,965410123",C,"253,6015704",C,C,2019
Prefeitura Municipal de Perdigão - MG,3149705,MG,11249,"0,022733591",A,"0,831235695",A,"0,775366532",A,A,2019
Prefeitura Municipal de Perdizes - MG,3149804,MG,16009,"0,168084023",A,"0,910473001",B,"0,169901624",A,B,2019
Prefeitura Municipal de Perdões - MG,3149903,MG,21291,"0,095965437",A,"0,758150969",A,"0,173834409",A,A,2019
Prefeitura Municipal de Pereira Barreto - SP,3537404,SP,25660,,n.d.,"0,969316005",C,"0,584293833",A,n.d.,2019
