INSTITUICAO,COD_IBGE,UF,POPULACAO,INDICADOR_1,NOTA_1,INDICADOR_2,NOTA_2,INDICADOR_3,NOTA_3,CLASSIFICACAO_CAPAG,ANO_BASE
Prefeitura Municipal de Abadia de Goiás - GO,5200050,GO,,,n.d.,"0,900312012",B,,n.d.,n.d.,2017
Prefeitura Municipal de Abadia dos Dourados - MG,3100104,MG,7037,"0,250646502",A,"0,943000938",B,,n.d.,n.d.,2017
Prefeitura Municipal de Abadiânia - GO,5200100,GO,,,n.d.,"0,93816839",B,,n.d.,n.d.,2017
Prefeitura Municipal de Abaeté - MG,3100203,MG,23574,"0,877674422",B,"0,954212069",C,,n.d.,n.d.,2017
Prefeitura Municipal de Abaetetuba - PA,1500107,PA,151934,"0,004167725",A,"0,965144083",C,"0,605537232",A,C,2017
Prefeitura Municipal de Abaiara - CE,2300101,CE,11483,"0,749752548",B,,n.d.,"4,62385834",C,n.d.,2017
Prefeitura Municipal de Abaíra - BA,2900108,BA,9212,"0,957019903",B,"0,909268191",B,,n.d.,n.d.,2017
Prefeitura Municipal de Abaré - BA,2900207,BA,19939,"0,507877838",A,"1,008977204",C,"7,945578224",C,C,2017
Prefeitura Municipal de Abatiá - PR,4100103,PR,7795,"0,379373656",A,"0,937297953",B,"0,147473895",A,B,2017
Prefeitura Municipal de Abdon Batista - SC,4200051,SC,2617,"0,056964532",A,"0,866556314",A,"0,297943101",A,A,2017
Prefeitura Municipal de Abel Figueiredo - PA,1500131,PA,7179,0,A,"1,719150955",C,"0,371190786",A,C,2017
Prefeitura Municipal de Abelardo Luz - SC,4200101,SC,17782,"0,079941044",A,"0,925552656",B,"2,120135223",C,C,2017
Prefeitura Municipal de Abre Campo - MG,3100302,MG,13726,"0,599776915",A,"1,039563967",C,,n.d.,n.d.,2017
Prefeitura Municipal de Abreu e Lima - PE,2600054,PE,98990,"0,206748699",A,"1,017401101",C,"14,27546836",C,C,2017
Prefeitura Municipal de Abreulândia - TO,1700251,TO,,,n.d.,"0,988224779",C,,n.d.,n.d.,2017
Prefeitura Municipal de Acaiaca - MG,3100401,MG,4061,"0,008213365",A,"0,942713616",B,"0,782823135",A,B,2017
Prefeitura Municipal de Açailândia - MA,2100055,MA,,,n.d.,"0,907708527",B,,n.d.,n.d.,2017
Prefeitura Municipal de Acajutiba - BA,2900306,BA,15764,"0,357456965",A,"0,975226576",C,,n.d.,n.d.,2017
Prefeitura Municipal de Acará - PA,1500206,PA,54080,"0,83939939",B,"0,961670323",C,"2,996778916",C,C,2017
Prefeitura Municipal de Acarape - CE,2300150,CE,16418,"0,852777217",B,"1,011585959",C,,n.d.,n.d.,2017
Prefeitura Municipal de Acaraú - CE,2300200,CE,61715,"0,098396792",A,"1,153268685",C,"10,1794358",C,C,2017
Prefeitura Municipal de Acari - RN,2400109,RN,11338,"0,488065424",A,"0,952827192",C,"1,296081216",C,C,2017
Prefeitura Municipal de Acauã - PI,2200053,PI,6951,0,A,"0,941908759",B,,n.d.,n.d.,2017
Prefeitura Municipal de Aceguá - RS,4300034,RS,4731,"0,018385029",A,"0,972928473",C,"1,02754465",C,C,2017
Prefeitura Municipal de Acopiara - CE,2300309,CE,53358,"0,30082125",A,"0,853544894",A,"0,531937804",A,A,2017
Prefeitura Municipal de Acorizal - MT,5100102,MT,5301,"0,00022993",A,"1,003619532",C,0,n.d.,n.d.,2017
Prefeitura Municipal de Acrelândia - AC,1200013,AC,14120,"-0,003586792",A,"1,003138781",C,"1,809872946",C,C,2017
Prefeitura Municipal de Acreúna - GO,5200134,GO,21905,"0,051781062",A,"0,892204215",A,"8,379265719",C,C,2017
Prefeitura Municipal de Açu - RN,2400208,RN,,,n.d.,"0,98487331",C,"3,049044744",C,n.d.,2017
Prefeitura Municipal de Açucena - MG,3100500,MG,10066,"0,07777825",A,"1,017918562",C,,n.d.,n.d.,2017
Prefeitura Municipal de Adamantina - SP,3500105,SP,35094,"0,050984917",A,"0,913918999",B,,n.d.,n.d.,2017
Prefeitura Municipal de Adelândia - GO,5200159,GO,,,n.d.,"0,983117048",C,,n.d.,n.d.,2017
Prefeitura Municipal de Adolfo - SP,3500204,SP,3616,"0,01836472",A,"0,968986584",C,"0,628824513",A,C,2017
Prefeitura Municipal de Adrianópolis - PR,4100202,PR,6293,"0,013109874",A,"0,973747756",C,"0,405080422",A,C,2017
Prefeitura Municipal de Adustina - BA,2900355,BA,17254,"0,090323522",A,"0,966665353",C,"0,031380558",A,C,2017
Prefeitura Municipal de Afogados da Ingazeira - PE,2600104,PE,36866,"0,088176426",A,"1,006404768",C,,n.d.,n.d.,2017
Prefeitura Municipal de Afonso Bezerra - RN,2400307,RN,11207,"0,329422358",A,"0,944916703",B,"0,317710436",A,B,2017
Prefeitura Municipal de Afonso Cláudio - ES,3200102,ES,32407,"0,020601605",A,"0,939056664",B,"0,56864104",A,B,2017
Prefeitura Municipal de Afonso Cunha - MA,2100105,MA,,,n.d.,"0,950877034",C,,n.d.,n.d.,2017
Prefeitura Municipal de Afrânio - PE,2600203,PE,19225,"0,027520647",A,"0,92389229",B,"7,85678065",C,C,2017
Prefeitura Municipal de Afuá - PA,1500305,PA,37778,,n.d.,"1,030191015",C,"0,07594461",A,n.d.,2017
Prefeitura Municipal de Agrestina - PE,2600302,PE,24454,"0,266495445",A,"0,961922557",C,"21,02107585",C,C,2017
Prefeitura Municipal de Agricolândia - PI,2200103,PI,5069,0,A,"0,952232145",C,,n.d.,n.d.,2017
Prefeitura Municipal de Agrolândia - SC,4200200,SC,10427,"0,02066782",A,"0,967383159",C,"0,25088615",A,C,2017
Prefeitura Municipal de Agronômica - SC,4200309,SC,5371,"0,043106774",A,"0,919396874",B,"0,000644149",A,B,2017
Prefeitura Municipal de Água Azul do Norte - PA,1500347,PA,,,n.d.,"0,735630102",A,,n.d.,n.d.,2017
Prefeitura Municipal de Água Boa - MG,3100609,MG,14524,"0,083215436",A,"0,99866264",C,"2,205399544",C,C,2017
Prefeitura Municipal de Água Boa - MT,5100201,MT,24032,"0,139787497",A,"0,867233856",A,,n.d.,n.d.,2017
Prefeitura Municipal de Água Branca - AL,2700102,AL,20422,"0,189724925",A,"0,939347937",B,"1,146262908",C,C,2017
Prefeitura Municipal de Água Branca - PB,2500106,PB,10172,"0,213549887",A,"0,990656103",C,"1,120662901",C,C,2017
Prefeitura Municipal de Água Branca - PI,2200202,PI,17068,"0,507690677",A,"0,927544644",B,"2,390614011",C,C,2017
Prefeitura Municipal de Água Clara - MS,5000203,MS,14734,0,A,"0,913710607",B,"0,323278919",A,B,2017
Prefeitura Municipal de Água Comprida - MG,3100708,MG,,,n.d.,"0,97615288",C,,n.d.,n.d.,2017
Prefeitura Municipal de Água Doce - SC,4200408,SC,7143,"0,020558",A,"0,884756959",A,"0,018597952",A,A,2017
Prefeitura Municipal de Água Doce do Maranhão - MA,2100154,MA,,,n.d.,"0,939551629",B,,n.d.,n.d.,2017
Prefeitura Municipal de Água Doce do Norte - ES,3200169,ES,11958,"0,260360159",A,"1,114527557",C,"1,989155879",C,C,2017
Prefeitura Municipal de Água Fria - BA,2900405,BA,17431,"0,590276189",A,"0,995880819",C,"0,974516583",A,C,2017
Prefeitura Municipal de Água Fria de Goiás - GO,5200175,GO,5560,"0,065916555",A,"0,950680748",C,,n.d.,n.d.,2017
Prefeitura Municipal de Água Limpa - GO,5200209,GO,1980,"0,01960189",A,"0,930442552",B,"3,778975687",C,C,2017
Prefeitura Municipal de Água Nova - RN,2400406,RN,,,n.d.,"1,008036678",C,,n.d.,n.d.,2017
Prefeitura Municipal de Água Preta - PE,2600401,PE,36040,"0,542525419",A,"0,966239503",C,"6,163989756",C,C,2017
Prefeitura Municipal de Água Santa - RS,4300059,RS,3841,"0,026490763",A,"0,824568118",A,"1,494157501",C,C,2017
Prefeitura Municipal de Aguaí - SP,3500303,SP,35189,"0,06405237",A,"0,911967737",B,"0,343715318",A,B,2017
Prefeitura Municipal de Aguanil - MG,3100807,MG,4406,"0,008865094",A,"0,936905459",B,"0,440118473",A,B,2017
Prefeitura Municipal de Águas Belas - PE,2600500,PE,42831,"0,382855982",A,"0,956319942",C,"99,15221469",C,C,2017
Prefeitura Municipal de Águas da Prata - SP,3500402,SP,8065,"0,424858849",A,"0,910734666",B,,n.d.,n.d.,2017
Prefeitura Municipal de Águas de Chapecó - SC,4200507,SC,6412,"0,015405627",A,"0,955982548",C,0,n.d.,n.d.,2017
Prefeitura Municipal de Águas de Lindóia - SP,3500501,SP,18412,"0,02842402",A,"0,939274502",B,,n.d.,n.d.,2017
Prefeitura Municipal de Águas de Santa Bárbara - SP,3500550,SP,,,n.d.,"1,011488904",C,,n.d.,n.d.,2017
Prefeitura Municipal de Águas de São Pedro - SP,3500600,SP,3205,"0,12517974",A,"0,91922448",B,"1,291239343",C,C,2017
Prefeitura Municipal de Águas Formosas - MG,3100906,MG,19363,"0,13813569",A,"0,928279415",B,"-0,62837867",C,C,2017
Prefeitura Municipal de Águas Frias - SC,4200556,SC,2397,0,A,"0,901138602",B,0,n.d.,n.d.,2017
Prefeitura Municipal de Águas Lindas de Goiás - GO,5200258,GO,,,n.d.,"0,851873241",A,,n.d.,n.d.,2017
Prefeitura Municipal de Águas Mornas - SC,4200606,SC,6206,0,A,"0,859133958",A,"0,00736936",A,A,2017
Prefeitura Municipal de Águas Vermelhas - MG,3101003,MG,13513,"0,02730142",A,"0,9768867",C,"13,57145428",C,C,2017
Prefeitura Municipal de Agudo - RS,4300109,RS,17102,"0,060620302",A,"0,825799879",A,"0,15530794",A,A,2017
Prefeitura Municipal de Agudos - SP,3500709,SP,36704,"0,07760216",A,"1,003576989",C,"5,140129168",C,C,2017
Prefeitura Municipal de Agudos do Sul - PR,4100301,PR,9073,"0,096416263",A,"0,973109636",C,"-4,829265947",C,C,2017
Prefeitura Municipal de Águia Branca - ES,3200136,ES,10075,0,A,"0,835650316",A,"2,645812203",C,C,2017
Prefeitura Municipal de Aguiar - PB,2500205,PB,5567,"0,321382205",A,"0,987483378",C,"2,564165896",C,C,2017
Prefeitura Municipal de Aguiarnópolis - TO,1700301,TO,,,n.d.,"0,965635386",C,,n.d.,n.d.,2017
Prefeitura Municipal de Aimorés - MG,3101102,MG,25703,"0,01515463",A,"0,885959764",A,,n.d.,n.d.,2017
Prefeitura Municipal de Aiquara - BA,2900603,BA,,,n.d.,"1,033369194",C,,n.d.,n.d.,2017
Prefeitura Municipal de Aiuaba - CE,2300408,CE,17098,"0,586027228",A,"0,911831281",B,"0,904024361",A,B,2017
Prefeitura Municipal de Aiuruoca - MG,3101201,MG,6224,0,A,"0,964409692",C,"0,460469144",A,C,2017
Prefeitura Municipal de Ajuricaba - RS,4300208,RS,7372,"0,007532067",A,"0,893675892",A,1,A,A,2017
Prefeitura Municipal de Alagoa - MG,3101300,MG,,,n.d.,"0,982443263",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alagoa Grande - PB,2500304,PB,,,n.d.,"0,984737171",C,"-9,431975518",C,n.d.,2017
Prefeitura Municipal de Alagoa Nova - PB,2500403,PB,,,n.d.,"1,024426194",C,"-0,15116998",C,n.d.,2017
Prefeitura Municipal de Alagoinha - PB,2500502,PB,14376,"0,187334916",A,"0,799633254",A,"0,107468026",A,A,2017
Prefeitura Municipal de Alagoinha - PE,2600609,PE,14431,"0,150739896",A,"0,915307028",B,"5,176804026",C,C,2017
Prefeitura Municipal de Alagoinha do Piauí - PI,2200251,PI,,,n.d.,"0,989884992",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alagoinhas - BA,2900702,BA,155362,"0,248305961",A,"0,925917498",B,"0,696914242",A,B,2017
Prefeitura Municipal de Alambari - SP,3500758,SP,5658,"0,003441592",A,"0,975063901",C,,n.d.,n.d.,2017
Prefeitura Municipal de Albertina - MG,3101409,MG,3040,0,A,"0,854557815",A,"0,015801725",A,A,2017
Prefeitura Municipal de Alcântara - MA,2100204,MA,,,n.d.,"1,020611975",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alcântaras - CE,2300507,CE,11391,"0,223143288",A,"0,99752568",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alcantil - PB,2500536,PB,5475,"0,099122114",A,"0,972579972",C,"1,342910455",C,C,2017
Prefeitura Municipal de Alcinópolis - MS,5000252,MS,5114,"0,007388717",A,"0,842263622",A,"0,14026371",A,A,2017
Prefeitura Municipal de Alcobaça - BA,2900801,BA,23331,"0,223410387",A,"0,996457827",C,"0,986559572",A,C,2017
Prefeitura Municipal de Aldeias Altas - MA,2100303,MA,26115,"0,202996682",A,"0,962075231",C,"4,582437363",C,C,2017
Prefeitura Municipal de Alecrim - RS,4300307,RS,6799,"0,031541366",A,"0,913933758",B,"0,092243994",A,B,2017
Prefeitura Municipal de Alegre - ES,3200201,ES,,,n.d.,"0,934800642",B,,n.d.,n.d.,2017
Prefeitura Municipal de Alegrete - RS,4300406,RS,78244,"0,069361254",A,"0,899895717",A,,n.d.,n.d.,2017
Prefeitura Municipal de Alegrete do Piauí - PI,2200277,PI,,,n.d.,"0,885461825",A,,n.d.,n.d.,2017
Prefeitura Municipal de Alegria - RS,4300455,RS,4085,"0,031333364",A,"0,839044432",A,"0,698164816",A,A,2017
Prefeitura Municipal de Além Paraíba - MG,3101508,MG,35795,"0,010885646",A,"0,880400142",A,"1,709505291",C,C,2017
Prefeitura Municipal de Alenquer - PA,1500404,PA,,,n.d.,"1,064318778",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alexandria - RN,2400505,RN,13839,"0,075276209",A,"0,983009037",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alexânia - GO,5200308,GO,26457,"0,017025221",A,"0,964147692",C,"3,777776267",C,C,2017
Prefeitura Municipal de Alfenas - MG,3101607,MG,79222,"0,138283915",A,"0,929547864",B,"0,853878379",A,B,2017
Prefeitura Municipal de Alfredo Chaves - ES,3200300,ES,15029,0,A,"0,963505335",C,"0,189300923",A,C,2017
Prefeitura Municipal de Alfredo Marcondes - SP,3500808,SP,,,n.d.,"0,973996581",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alfredo Vasconcelos - MG,3101631,MG,6709,"0,012812893",A,"0,961977921",C,"0,916033871",A,C,2017
Prefeitura Municipal de Alfredo Wagner - SC,4200705,SC,9905,"1,13391E-05",A,"0,984580382",C,"0,221820468",A,C,2017
Prefeitura Municipal de Algodão de Jandaíra - PB,2500577,PB,,,n.d.,"0,91787325",B,"-0,649085241",C,n.d.,2017
Prefeitura Municipal de Alhandra - PB,2500601,PB,,,n.d.,,n.d.,"0,124326336",A,n.d.,2017
Prefeitura Municipal de Aliança - PE,2600708,PE,38261,"1,100965611",B,"1,028648142",C,"-83,29069366",C,C,2017
Prefeitura Municipal de Aliança do Tocantins - TO,1700350,TO,,,n.d.,"0,952261477",C,,n.d.,n.d.,2017
Prefeitura Municipal de Almadina - BA,2900900,BA,,,n.d.,"0,93589322",B,,n.d.,n.d.,2017
Prefeitura Municipal de Almas - TO,1700400,TO,,,n.d.,"0,990914393",C,,n.d.,n.d.,2017
Prefeitura Municipal de Almeirim - PA,1500503,PA,33282,"0,017840377",A,"1,051397228",C,,n.d.,n.d.,2017
Prefeitura Municipal de Almenara - MG,3101706,MG,41552,"0,043713039",A,"1,000524095",C,0,n.d.,n.d.,2017
Prefeitura Municipal de Almino Afonso - RN,2400604,RN,,,n.d.,"0,995214663",C,,n.d.,n.d.,2017
Prefeitura Municipal de Almirante Tamandaré - PR,4100400,PR,114129,"0,349542475",A,"0,846191771",A,"0,226809673",A,A,2017
Prefeitura Municipal de Almirante Tamandaré do Sul - RS,4300471,RS,2085,"0,0968097",A,"0,889924874",A,"0,157028089",A,A,2017
Prefeitura Municipal de Aloândia - GO,5200506,GO,2075,"0,898251822",B,"0,904540992",B,"7,381806726",C,C,2017
Prefeitura Municipal de Alpercata - MG,3101805,MG,,,n.d.,"0,978921489",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alpestre - RS,4300505,RS,7533,"0,002074148",A,"0,695321061",A,0,n.d.,n.d.,2017
Prefeitura Municipal de Alpinópolis - MG,3101904,MG,19741,"0,049913731",A,"0,93479693",B,,n.d.,n.d.,2017
Prefeitura Municipal de Alta Floresta - MT,5100250,MT,50082,"0,351147384",A,"0,851545754",A,"1,218291241",C,C,2017
Prefeitura Municipal de Alta Floresta D'Oeste - RO,1100015,RO,25506,"0,052322362",A,"0,886949472",A,"0,996372127",A,A,2017
Prefeitura Municipal de Altair - SP,3500907,SP,4085,"0,026627677",A,"0,954354238",C,0,n.d.,n.d.,2017
Prefeitura Municipal de Altamira - PA,1500602,PA,109938,"0,00180745",A,"0,91227269",B,"0,674683735",A,B,2017
Prefeitura Municipal de Altamira do Maranhão - MA,2100402,MA,,,n.d.,"0,912794032",B,,n.d.,n.d.,2017
Prefeitura Municipal de Altamira do Paraná - PR,4100459,PR,3143,"0,230773219",A,"0,916506542",B,"0,17470026",A,B,2017
Prefeitura Municipal de Altaneira - CE,2300606,CE,7413,"0,316308033",A,"0,836181379",A,,n.d.,n.d.,2017
Prefeitura Municipal de Alterosa - MG,3102001,MG,14494,"0,024119798",A,"0,958217194",C,"-0,074013211",C,C,2017
Prefeitura Municipal de Altinho - PE,2600807,PE,22886,"0,382279027",A,"1,052081108",C,"7,364071994",C,C,2017
Prefeitura Municipal de Altinópolis - SP,3501004,SP,16199,"0,001188657",A,"0,8376128",A,"0,752669144",A,A,2017
Prefeitura Municipal de Alto Alegre - RR,1400050,RR,,,n.d.,,n.d.,,n.d.,n.d.,2017
Prefeitura Municipal de Alto Alegre - RS,4300554,RS,1815,"0,053678716",A,"0,814549012",A,"0,008627206",A,A,2017
Prefeitura Municipal de Alto Alegre - SP,3501103,SP,4164,"0,059783927",A,"0,987667744",C,"11,72094513",C,C,2017
Prefeitura Municipal de Alto Alegre do Maranhão - MA,2100436,MA,,,n.d.,"1,002383639",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alto Alegre do Pindaré - MA,2100477,MA,,,n.d.,"0,930389654",B,,n.d.,n.d.,2017
Prefeitura Municipal de Alto Alegre dos Parecis - RO,1100379,RO,13993,"0,155573155",A,"0,959229058",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alto Araguaia - MT,5100300,MT,17841,"0,023832754",A,"0,888720902",A,"1,848796031",C,C,2017
Prefeitura Municipal de Alto Bela Vista - SC,4200754,SC,1977,0,A,"0,891869079",A,"0,135413378",A,A,2017
Prefeitura Municipal de Alto Boa Vista - MT,5100359,MT,,,n.d.,"0,934443303",B,,n.d.,n.d.,2017
Prefeitura Municipal de Alto Caparaó - MG,3102050,MG,5748,"0,061129417",A,"0,883960231",A,,n.d.,n.d.,2017
Prefeitura Municipal de Alto do Rodrigues - RN,2400703,RN,,,n.d.,"0,991128911",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alto Feliz - RS,4300570,RS,3032,"0,061453629",A,"0,754832375",A,"0,024715029",A,A,2017
Prefeitura Municipal de Alto Garças - MT,5100409,MT,11383,"0,05045914",A,"0,963109576",C,"0,007517601",A,C,2017
Prefeitura Municipal de Alto Horizonte - GO,5200555,GO,5629,"0,048384415",A,"0,800736837",A,"2,851643435",C,C,2017
Prefeitura Municipal de Alto Jequitibá - MG,3153509,MG,8525,"0,097887746",A,,n.d.,"0,813745716",A,n.d.,2017
Prefeitura Municipal de Alto Longá - PI,2200301,PI,,,n.d.,"1,1177116",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alto Paraguai - MT,5100508,MT,10814,"0,150636934",A,"0,962109163",C,"10,57572125",C,C,2017
Prefeitura Municipal de Alto Paraíso - PR,4128625,PR,3037,"0,068220606",A,"0,927294508",B,,n.d.,n.d.,2017
Prefeitura Municipal de Alto Paraíso - RO,1100403,RO,20569,"0,026455319",A,"0,973768557",C,"0,048231616",A,C,2017
Prefeitura Municipal de Alto Paraíso de Goiás - GO,5200605,GO,,,n.d.,"0,913708982",B,,n.d.,n.d.,2017
Prefeitura Municipal de Alto Paraná - PR,4100608,PR,14606,"0,121433358",A,"0,835002395",A,"0,101478778",A,A,2017
Prefeitura Municipal de Alto Parnaíba - MA,2100501,MA,10979,"0,013498034",A,"0,930797847",B,"0,986428171",A,B,2017
Prefeitura Municipal de Alto Piquiri - PR,4100707,PR,10253,"0,066920195",A,"0,957796313",C,"0,180856985",A,C,2017
Prefeitura Municipal de Alto Rio Doce - MG,3102100,MG,11792,"0,03406514",A,"0,969573787",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alto Rio Novo - ES,3200359,ES,7979,"0,514483313",A,"0,989804178",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alto Santo - CE,2300705,CE,16927,"0,136226387",A,"0,860593192",A,"0,198489685",A,A,2017
Prefeitura Municipal de Alto Taquari - MT,5100607,MT,9963,0,A,"0,912032218",B,,n.d.,n.d.,2017
Prefeitura Municipal de Altônia - PR,4100509,PR,21867,"0,08547866",A,"0,925853089",B,,n.d.,n.d.,2017
Prefeitura Municipal de Altos - PI,2200400,PI,,,n.d.,"1,02932144",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alumínio - SP,3501152,SP,18194,"0,754152489",B,"0,971421179",C,"4,183938304",C,C,2017
Prefeitura Municipal de Alvarães - AM,1300029,AM,,,n.d.,"0,813105816",A,,n.d.,n.d.,2017
Prefeitura Municipal de Alvarenga - MG,3102209,MG,4245,"0,023808515",A,"0,980645169",C,,n.d.,n.d.,2017
Prefeitura Municipal de Álvares Florence - SP,3501202,SP,3824,"0,092023897",A,"0,911955026",B,,n.d.,n.d.,2017
Prefeitura Municipal de Álvares Machado - SP,3501301,SP,24733,0,A,"1,027435968",C,,n.d.,n.d.,2017
Prefeitura Municipal de Álvaro de Carvalho - SP,3501400,SP,,,n.d.,"0,985206776",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alvinlândia - SP,3501509,SP,3182,"0,033563008",A,"0,951551793",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alvinópolis - MG,3102308,MG,15609,"0,138068217",A,"0,854332987",A,"5,220467512",C,C,2017
Prefeitura Municipal de Alvorada - RS,4300604,RS,207392,"0,156437998",A,"0,847167295",A,"0,891511879",A,A,2017
Prefeitura Municipal de Alvorada - TO,1700707,TO,,,n.d.,"0,766942089",A,,n.d.,n.d.,2017
Prefeitura Municipal de Alvorada de Minas - MG,3102407,MG,3669,"0,001203957",A,"1,00681926",C,"0,377668018",A,C,2017
Prefeitura Municipal de Alvorada do Gurguéia - PI,2200459,PI,,,n.d.,"1,10282677",C,,n.d.,n.d.,2017
Prefeitura Municipal de Alvorada do Norte - GO,5200803,GO,,,n.d.,"0,831667749",A,,n.d.,n.d.,2017
Prefeitura Municipal de Alvorada do Sul - PR,4100806,PR,11148,"0,158569913",A,"0,878410264",A,"4,249281513",C,C,2017
Prefeitura Municipal de Alvorada D'Oeste - RO,1100346,RO,16902,"0,098184791",A,"0,872366546",A,"4,598954033",C,C,2017
Prefeitura Municipal de Amajari - RR,1400027,RR,,,n.d.,"0,814309302",A,,n.d.,n.d.,2017
Prefeitura Municipal de Amambai - MS,5000609,MS,38030,"0,075023666",A,"0,932015324",B,,n.d.,n.d.,2017
Prefeitura Municipal de Amapá - AP,1600105,AP,,,n.d.,"0,9465538",B,,n.d.,n.d.,2017
Prefeitura Municipal de Amapá do Maranhão - MA,2100550,MA,,,n.d.,,n.d.,,n.d.,n.d.,2017
Prefeitura Municipal de Amaporã - PR,4100905,PR,6019,"0,041297962",A,"0,945626315",B,0,n.d.,n.d.,2017
Prefeitura Municipal de Amaraji - PE,2600906,PE,22685,"0,489626843",A,"1,008837394",C,,n.d.,n.d.,2017
Prefeitura Municipal de Amaral Ferrador - RS,4300638,RS,6817,"0,157082162",A,"0,980043993",C,,n.d.,n.d.,2017
Prefeitura Municipal de Amaralina - GO,5200829,GO,3723,"0,004060053",A,"0,892456954",A,"0,658333739",A,A,2017
Prefeitura Municipal de Amarante - PI,2200509,PI,17317,"0,001312835",A,"1,018744871",C,,n.d.,n.d.,2017
Prefeitura Municipal de Amarante do Maranhão - MA,2100600,MA,40756,"0,225607704",A,"0,976636103",C,"0,244596023",A,C,2017
Prefeitura Municipal de Amargosa - BA,2901007,BA,38041,"0,882528752",B,"0,955408655",C,"0,428599294",A,C,2017
Prefeitura Municipal de Amaturá - AM,1300060,AM,11047,0,A,"0,926551328",B,"0,091803824",A,B,2017
Prefeitura Municipal de Amélia Rodrigues - BA,2901106,BA,26424,"0,346457613",A,"0,832222609",A,"0,701847279",A,A,2017
Prefeitura Municipal de América Dourada - BA,2901155,BA,16781,"0,193857174",A,"0,915318393",B,,n.d.,n.d.,2017
Prefeitura Municipal de Americana - SP,3501608,SP,231621,"0,774585444",B,"0,978400087",C,"3,348168297",C,C,2017
Prefeitura Municipal de Americano do Brasil - GO,5200852,GO,5969,0,A,"0,912185172",B,"0,641882683",A,B,2017
Prefeitura Municipal de Américo Brasiliense - SP,3501707,SP,38701,"0,023076563",A,"0,961649958",C,,n.d.,n.d.,2017
Prefeitura Municipal de Américo de Campos - SP,3501806,SP,5955,"0,307860061",A,"0,970775239",C,"0,808779337",A,C,2017
Prefeitura Municipal de Ametista do Sul - RS,4300646,RS,7573,"0,033474252",A,"0,847436541",A,,n.d.,n.d.,2017
Prefeitura Municipal de Amontada - CE,2300754,CE,42508,"0,227401275",A,"0,956538382",C,"4,205954745",C,C,2017
Prefeitura Municipal de Amorinópolis - GO,5200902,GO,3447,"0,379215266",A,"1,001435275",C,,n.d.,n.d.,2017
Prefeitura Municipal de Amparo - PB,2500734,PB,2229,"0,128395941",A,,n.d.,"28,18951671",C,n.d.,2017
Prefeitura Municipal de Amparo - SP,3501905,SP,70742,"0,030279587",A,"0,9917888",C,"0,032665835",A,C,2017
Prefeitura Municipal de Amparo de São Francisco - SE,2800100,SE,2382,0,A,,n.d.,"6,5660902",C,n.d.,2017
Prefeitura Municipal de Amparo do Serra - MG,3102506,MG,4947,"0,081019626",A,"0,983826699",C,"1,967109263",C,C,2017
Prefeitura Municipal de Ampére - PR,4101002,PR,18740,"0,133774001",A,"0,964529477",C,"1,740918072",C,C,2017
Prefeitura Municipal de Anadia - AL,2700201,AL,,,n.d.,"0,883821909",A,,n.d.,n.d.,2017
Prefeitura Municipal de Anagé - BA,2901205,BA,19824,"0,651537028",B,"0,949535308",B,,n.d.,n.d.,2017
Prefeitura Municipal de Anahy - PR,4101051,PR,2908,"0,144521075",A,"0,946627778",B,,n.d.,n.d.,2017
Prefeitura Municipal de Anajás - PA,1500701,PA,28012,"0,00081307",A,,n.d.,"1,423523841",C,n.d.,2017
Prefeitura Municipal de Anajatuba - MA,2100709,MA,,,n.d.,,n.d.,,n.d.,n.d.,2017
Prefeitura Municipal de Analândia - SP,3502002,SP,4789,0,A,"1,006960833",C,"1,491888491",C,C,2017
Prefeitura Municipal de Anamã - AM,1300086,AM,12653,"0,014496974",A,"0,929897294",B,"0,346142347",A,B,2017
Prefeitura Municipal de Ananás - TO,1701002,TO,,,n.d.,"1,015843186",C,,n.d.,n.d.,2017
Prefeitura Municipal de Ananindeua - PA,1500800,PA,510834,"0,143370301",A,"0,928550392",B,,n.d.,n.d.,2017
Prefeitura Municipal de Anápolis - GO,5201108,GO,370875,"0,238470819",A,"1,036699369",C,"1,496206145",C,C,2017
Prefeitura Municipal de Anapu - PA,1500859,PA,,,n.d.,"0,95622353",C,,n.d.,n.d.,2017
Prefeitura Municipal de Anapurus - MA,2100808,MA,,,n.d.,,n.d.,,n.d.,n.d.,2017
Prefeitura Municipal de Anastácio - MS,5000708,MS,24852,"0,019156369",A,"0,883536473",A,,n.d.,n.d.,2017
